n_steps;n_vertices;n_customers;execution_time_in_seconds
10;20;2;0.03211748400644865
10;20;3;0.03738957900350215
20;50;3;0.1965441889988142
30;50;2;116.46099671399861
30;50;3;0.9228224580001552
30;50;5;4.116092748998199
30;50;10;0.8856028959999094
30;100;3;9.74755622199882
50;100;2;37238.658906672994
10;20;2;0.026258530997438356
10;50;2;0.04402067299815826
20;50;2;0.16726533600012772
20;50;5;0.28665664000436664
10;20;2;0.034243217000039294
10;20;3;0.037827514999662526
10;20;5;0.025563506002072245
20;50;2;0.5347979100042721
10;20;2;0.027655893994960934
10;20;3;0.027314507999108173
20;50;2;0.44284233001235407
20;50;3;1.026930319989333
10;20;2;0.02939403300115373
10;20;3;0.034736576009890996
20;50;3;0.2225602220132714
20;50;2;0.31724742900405545
10;20;2;0.04464714101050049
20;50;3;0.2599599289969774
20;50;2;0.2505898109957343
10;20;2;0.03310235100798309
10;20;3;0.03734372400504071
20;50;2;0.5910101010085782
20;50;3;0.19462184999429155
30;50;2;1.4695439110073494
20;50;5;4.463005527999485
30;50;2;5.657381206998252
30;50;2;14.545031702000415
30;50;3;8.17195239700959
30;50;5;2.361634635992232
30;50;3;19.33885063100024
20;100;2;2.195265449990984
30;50;3;21.609695489998558
30;50;10;1.7260913969948888
10;100;2;0.09303580300183967
30;50;5;25.823983698006487
30;50;10;2.80132391799998
50;100;2;44.576394122996135
30;50;2;117.82271972500894
30;50;2;150.15741117899597
30;50;3;5.521411990004708
30;50;5;7.6740969179954845
30;50;2;201.97259798800224
30;50;3;1.0616059960011626
30;50;5;1.968372426010319
30;50;10;4.395281170000089
20;100;2;0.8319167209992884
30;100;3;147.79945838499407
30;50;3;415.91798027799814
30;50;5;91.12325533300464
30;50;10;2.492299156001536
30;100;2;1.9655416539899306
10;20;2;0.030949616979341954
10;20;3;0.04336745600448921
10;20;5;0.042891129007330164
10;50;2;0.04707367400988005
20;50;2;0.30645267298677936
20;50;3;0.23431278200587258
20;50;5;0.2949871640012134
10;20;2;0.04348979299538769
10;20;3;0.03649085899814963
10;20;2;0.042650529998354614
20;50;2;0.35485604297718965
10;20;2;0.03597891400568187
20;50;2;1.8805671699810773
10;20;3;0.029571541002951562
10;20;5;0.02009157999418676
20;50;3;0.2842337150068488
20;50;2;0.24559650299488567
30;50;2;7.365445868985262
20;50;2;3.8265095470123924
20;50;2;1.6286662399943452
20;50;3;0.6170076639973558
20;50;5;0.3549562600092031
30;50;2;21.265433629014296
30;50;2;43.450016786984634
30;50;2;42.19919840697548
30;50;3;1.484195031982381
30;50;5;1.1264416039921343
20;100;3;1.6778915489849169
30;50;2;100.32878039198113
30;100;3;74.91763205899042
30;50;3;45.79674212599639
30;50;5;19.638441935996525
30;100;2;1.1761566200002562
30;50;5;278.19973009399837
30;50;3;361.6862236899906
30;50;5;12.206047621002654
30;100;3;7.054925789998379
30;50;2;399.4980143420107
30;50;3;393.519461666001
30;50;5;2.7393320789851714
30;50;10;26.15191763601615
20;100;2;2.021137727977475
30;100;2;165.34793289998197
30;50;3;356.8097467770276
30;50;5;2.2849027310148813
30;100;2;50.304085466021206
30;50;3;7242.5745878129965
30;50;5;2.737304859008873
30;50;10;1.6468253700004425
20;100;2;0.40972456900635734
50;100;2;30902.813357925974
50;100;3;103.13901132700266
50;100;2;63348.42864984501
50;100;3;196234.251229339
50;100;2;281452.05813857995
50;100;3;229.5133133570198
